id,department_code,insee_code,zip_code,name,slug,old,gps_lat,gps_lng
86,01,01094,01190,Chavannes-sur-Reyssouze,"chavannes sur reyssouze",0,46.4369,5.0015,0
87,01,01095,01250,"Nivigne et Suran","nivigne et suran",0,46.2864,5.4286,0
88,01,01096,01660,Chaveyriat,chaveyriat,0,46.2029,5.0496,0
89,01,01098,01300,Chazey-Bons,"chazey bons",0,45.802649,5.681342,0
90,01,01098,01510,Chazey-Bons,"chazey bons",0,45.802649,5.681342,0
91,01,01099,01150,Chazey-sur-Ain,"chazey sur ain",0,45.898,5.2553,0
92,01,01100,01510,Cheignieu-la-Balme,"cheignieu la balme",0,45.8222,5.6013,0
93,01,01101,01430,Chevillard,chevillard,0,46.1089,5.5792,0
94,01,01102,01190,Chevroux,chevroux,0,46.3817,4.9651,0
95,01,01103,01170,Chevry,chevry,0,46.2841,6.0451,0
96,01,01104,01410,Chézery-Forens,"chezery forens",0,46.223054,5.868303,0
97,01,01104,01200,Chézery-Forens,"chezery forens",0,46.1202119,5.7896126,0
98,01,01105,01390,Civrieux,civrieux,0,45.9181,4.8846,0
99,01,01106,01250,Cize,cize,0,46.1993,5.4508,0
100,01,01107,01230,Cleyzieu,cleyzieu,0,45.9003,5.4311,0
101,01,01108,01270,Coligny,coligny,0,46.386,5.3284,0
102,01,01109,01550,Collonges,collonges,0,46.1423,5.9044,0
103,01,01110,01300,Colomieu,colomieu,0,45.7378,5.6277,0
104,01,01111,01230,Conand,conand,0,45.8903,5.4719,0
105,01,01112,01430,Condamine,condamine,0,46.105,5.5583,0
106,01,01113,01400,Condeissiat,condeissiat,0,46.1516,5.0886,0
107,01,01114,01200,Confort,confort,0,46.1542,5.827,0
108,01,01115,01310,Confrançon,confrancon,0,46.2681,5.0645,0
109,01,01116,01300,Contrevoz,contrevoz,0,45.8019,5.6225,0
110,01,01117,01300,Conzieu,conzieu,0,45.7263,5.6074,0
111,01,01118,01420,Corbonod,corbonod,0,45.9712,5.7879,0
112,01,01121,01110,Corlier,corlier,0,46.0339,5.4979,0
113,01,01122,01110,"Plateau d'Hauteville","plateau d hauteville",0,45.9516909,5.612425,0
114,01,01123,01290,Cormoranche-sur-Saône,"cormoranche sur saone",0,46.2373,4.8318,0
115,01,01124,01560,Cormoz,cormoz,0,46.4349,5.2229,0
116,01,01125,01250,Corveissiat,corveissiat,0,46.2538,5.4671,0
117,01,01127,01370,Courmangoux,courmangoux,0,46.3271,5.352,0
118,01,01128,01560,Courtes,courtes,0,46.4565,5.1134,0
119,01,01129,01320,Crans,crans,0,45.9668,5.1932,0
120,01,01130,01340,"Bresse Vallons","bresse vallons",0,46.3273,5.1859,0
121,01,01133,01350,Cressin-Rochefort,"cressin rochefort",0,45.7818,5.758,0
122,01,01134,01290,Crottet,crottet,0,46.277172,4.892867,0
123,01,01134,01750,Crottet,crottet,0,46.3070867,4.8676037,0
124,01,01135,01170,Crozet,crozet,0,46.2895,6.0045,0
125,01,01136,01290,Cruzilles-lès-Mépillat,"cruzilles les mepillat",0,46.2203,4.8751,0
126,01,01138,01350,Culoz,culoz,0,45.8565,5.7739,0
127,01,01139,01560,Curciat-Dongalon,"curciat dongalon",0,46.4894,5.1669,0
128,01,01140,01310,Curtafond,curtafond,0,46.2736,5.1022,0
129,01,01141,01300,Cuzieu,cuzieu,0,45.8179,5.678,0
130,01,01142,01120,Dagneux,dagneux,0,45.858,5.0724,0
131,01,01143,01220,Divonne-les-Bains,"divonne les bains",0,46.3741,6.1175,0
132,01,01145,01240,Dompierre-sur-Veyle,"dompierre sur veyle",0,46.0642,5.2167,0
133,01,01146,01400,Dompierre-sur-Chalaronne,"dompierre sur chalaronne",0,46.1448,4.9005,0
134,01,01147,01270,Domsure,domsure,0,46.4244,5.2953,0
135,01,01148,01590,Dortan,dortan,0,46.3154,5.645,0
136,01,01149,01500,Douvres,douvres,0,45.9848,5.3743,0
137,01,01150,01250,Drom,drom,0,46.2219,5.3668,0
138,01,01151,01160,Druillat,druillat,0,46.0681,5.295,0
139,01,01152,01130,Échallon,echallon,0,46.2242,5.737,0
140,01,01153,01170,Échenevex,echenevex,0,46.3145,6.0254,0
141,01,01155,01230,Évosges,evosges,0,45.9566,5.4976,0
142,01,01156,01800,Faramans,faramans,0,45.9074,5.1232,0
143,01,01157,01480,Fareins,fareins,0,46.0225,4.7675,0
144,01,01158,01550,Farges,farges,0,46.162,5.9216,0
145,01,01159,01570,Feillens,feillens,0,46.3381,4.8882,0
146,01,01160,01210,Ferney-Voltaire,"ferney voltaire",0,46.2547,6.1076,0
147,01,01162,01350,Flaxieu,flaxieu,0,45.8103,5.7375,0
148,01,01163,01340,Foissiat,foissiat,0,46.379,5.1872,0
149,01,01165,01090,Francheleins,francheleins,0,46.0719,4.822,0
150,01,01166,01480,Frans,frans,0,45.9915,4.7747,0
151,01,01167,01140,Garnerans,garnerans,0,46.2139,4.8343,0
152,01,01169,01090,Genouilleux,genouilleux,0,46.1225,4.8011,0
153,01,01170,01460,Béard-Géovreissiat,"beard geovreissiat",0,46.1913,5.5487,0
154,01,01171,01100,Géovreisset,geovreisset,0,46.2551,5.6172,0
155,01,01173,01170,Gex,gex,0,46.3425,6.0475,0
156,01,01174,01130,Giron,giron,0,46.2198,5.7899,0
157,01,01175,01190,Gorrevod,gorrevod,0,46.4156,4.9557,0
158,01,01177,01250,Grand-Corent,"grand corent",0,46.2117,5.4369,0
159,01,01179,01290,Grièges,grieges,0,46.2673,4.8515,0
